Name,Phone,Address,City,State,County,Zip,Latitude,Longitude,Feedstock Category,# Employees,Feedstock Detail,Composting Technology,Dominion,Permit Type,Products,NAICS Code,NAICS Products,Website,Annual Sales ,Contact,Notes
"Propex Operating Company, LLC",706-965-6300,428 Rollins Industrial Blvd.,Ringgold,GA,Catoosa,30736,34.892686,-85.123256,Plastic,180,"Plastic bottles, post-consumer polyester, repelletized recycled plastic waste",N/A,,,Flooring products,314999,314999 — All Other Miscellaneous Textile Product Mills ,www.propexglobal.com," $200,000,000 ",Scott Hudson,
"Propex Operating Company, LLC",912-375-6180,95 E. Jefferson St.,Hazelhurst,GA,Jeff Davis,31539,31.856624,-82.597436,Plastic,375,"Virgin polyproplyene resin, repelletized recycled plastic waste",N/A,,,"Carpet backing, geotextiles",313210,313210 - Broadwoven Fabric Mills ,www.propexglobal.com,,Tom Borders,
"Propex Operating Company, LLC",229-686-5511,1 Nashville Mills Rd.,Nashville,GA,Berrien,31639,31.19071,-83.248245,Plastic,165,Polyproplyene and polyethelene,N/A,,,Geosynthetic,313210,313210 - Broadwoven Fabric Mills ,www.propexglobal.com,,Steve Webb,
Quail International,706-453-2376,1940 Hwy. 15 South ,Greensboro,GA,Greene,30642,33.565443,-83.1483,Organics,120,"Poultry waste (manure, eggs, carcasses), plant waste",Compost-o-Matic,Private,PBR,Compost,325314,325314  Compost manufacturing,www.plantationquail.net,,Raul Odollar,
"Quality Tire Recycling, Inc. (subsidiary of Liberty Tire)",770-775-3304,465 Mallet St.,Jackson,GA,Butts,30233,33.3007296,-83.9540248,"Rubber, Tires",,Scrap tires,N/A,,,Tire-derived fuel,,,www.libertytire.com,,,
"Recovered Materials, Inc.",912-632-4751,254 Teakwood Rd.,Alma,GA,Bacon,31510,31.5287615,-82.5229024,"Rubber, Tires",,Scrap tires,N/A,,,Traffic barrel channelizer drum bases (from sidewalls),,,www.recoveredmaterials.net,,,
Rehrig-Pacific,770-339-9888,1000 Raco Ct.,Lawrenceville,GA,Gwinnett,30045,33.959474,-84.022762,Plastic,160,Plastic,N/A,,,"Recycling tubs, roll out carts, reusable packaging (milk crates, bread trays, soda trays) ","326199, 325211",326199 - All Other Plastics Product Manufacturing; 325211 - Plastics Material and Resin Manufacturin ,www.rehrigpacific.com," $34,000,000 ",Eric Voss,
Rogers State Prison,912-557-7771,1978 Hwy. 147 ,Reidsville,GA,Tattnall,30453,32.035323,-82.142813,Organics,4,"Yard trimmings, food residuals",Windrow,Public,PBR,Compost,325314,325314  Compost manufacturing,,,Tracy,Not open to public. Processes own material.
Rubber Designs (Rubber Wholesalers),877-978-2237,P.O. Box 128,Ranger,GA,Ranger,30734,34.502261,-84.709933,"Rubber, Tires",48,"Re-treds, buffings",N/A,,,"Landscape products, playground/safety surfaces ","326299, 423910",326299 All Other Rubber Product Manufacturing; 423910 Playground equipment and supplies merchant wholesalers,www.rubbertrailsandsurfaces.com,,,
Safeplay Systems,770-591-7000 ,"4452 Winfred Dr., Suite B",Marietta,GA,Cobb,30066-1008,34.060506,-84.518951,Plastic,15,Plastic (95% post-consumer HDPE),N/A,,,Ecoplay plastic playgrounds,339920,339920 - Sporting and Athletic Goods Manufacturing,www.safeplaysystems.com," $2-3,000,000 ",Eric Torrey,
"Shaw Industries Group, Inc.",706-275-3812,843 Union Grove Rd.,Adairsville,GA,Bartow,30103,34.368702,-84.934109,Carpet,,Carpet (residential),N/A,,,Carpet mill (coating/finishing only),314110,"314110  Finishing (e.g., dyeing) rugs and carpets",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-935-2241,1015 Industrial Blvd.,Ringgold,GA,Catoosa,30736,34.907652,-85.129328,Carpet,,Carpet,N/A,,,Rug mill,314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",229-243-7789,200 Industrial Blvd.,Bainbridge,GA,Decatur,39817,30.979486,-84.623665,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313110,313110  Carpet and rug yarn spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-629-4636,380 South Industrial Blvd.,Calhoun,GA,Gordon,30701,34.47552,-84.935808,Carpet,,Carpet (needlebond),N/A,,,Carpet mill (needlebond),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-629-9234,341 Beamer Rd.,Calhoun,GA,Gordon,30701,34.497213,-84.974929,Carpet,,Carpet (unbacked),N/A,,,Carpet mill (dyeing only),314110,"314110 - Carpets, Rugs & Floor Covering",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",,298 West Belmont Dr.,Calhoun,GA,Gordon,30701,34.477811,-84.94419,Carpet,,Carpet (needlebond),N/A,,,Carpet mill (needlebond),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-625-2502,200 Fred Hurley Rd.,Calhoun,GA,Gordon,30701,34.519598,-84.947255,Carpet,,Carpet (unbacked),N/A,,,Carpet mill (dyeing only),314110,"314110  Finishing (e.g., dyeing) rugs and carpets",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-629-7761,355 South Industrial Blvd.,Calhoun,GA,Gordon,30701,34.47656,-84.938985,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313110,313110  Carpet and rug yarn spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-517-7700,616 Duvall Rd.,Chatsworth,GA,Murray,30705,34.787832,-84.788811,Carpet,,Carpet (commercial),N/A,,,Carpet mill,314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-375-2192,12454 North Hwy. 27,Chickamauga,GA,Walker,30707,34.871188,-85.29079,Carpet,,Carpet backing,N/A,,,Carpet backing (primary and secondary),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-638-4011,89 Westview Dr.,LaFayette,GA,Walker,30728,34.681964,-85.303331,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313110,313110  Carpet and rug yarn spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-278-3812,2225 South Hamilton St.,Dalton,GA,Whitfield,30720,34.728117,-84.968316,Carpet,,Carpet (residential),N/A,,,Carpet mill (residential),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-278-3812,"1010 V.D. Parrott, Jr. Pkwy.",Dalton,GA,Whitfield,30721,34.756948,-84.957946,Carpet,,Carpet (residential),N/A,,,Carpet mill (R&D),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-275-4392 ,2603 Lakeland Rd.,Dalton,GA,Whitfield,30721,34.715247,-84.961718,Carpet,,Carpet (residential),N/A,,,Carpet mill (residential),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-277-9869,2230 S. Hamilton St.,Dalton,GA,Whitfield,30720,34.727916,-84.9685,Carpet,,Carpet (residential),N/A,,,Carpet mill (residential),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-278-2270,201 Springdale Rd.,Dalton,GA,Whitfield,30720,34.792182,-84.968178,Carpet,,Carpet (residential),N/A,,,Carpet mill (residential),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-629-4636,1627 Abutment Rd.,Dalton,GA,Whitfield,30721,34.738592,-84.962259,Carpet,,Carpet (needlebond),N/A,,,Carpet mill (needlebond),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-275-4392,2305 Lakeland Rd.,Dalton,GA,Whitfield,30721,34.725104,-84.962567,Carpet,,Carpet (residential),N/A,,,Carpet mill (residential),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-277-9869,2230 South Hamilton St.,Dalton,GA,Whitfield,30720,34.727916,-84.9685,Carpet,,Post-consumer carpet,N/A,,,Process steam,"314110, 221330",314110 - Carpet and Rug Mills; 221330  Steam production and distribution,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-259-3284,1527 Waring Rd.,Dalton,GA,Whitfield,30721,34.802302,-84.962289,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313110,313110  Carpet and rug yarn spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-275-2500,902 North Hamilton St.,Dalton,GA,Whitfield,30720,34.785289,-84.965733,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313110,313110  Carpet and rug yarn spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",770-382-5200,1061 West Ave.,Cartersville,GA,Bartow,30120,34.154707,-84.821931,Carpet,,Carpet (commercial),N/A,,,Carpet mill (commercial),314110,314110 - Carpet and Rug Mills,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-849-5619 ,25 Columbia Nitrogen Dr.,Augusta,GA,Richmond,30901,33.453995,-81.928402,Carpet,,Post-consumer carpet,N/A,,,Caprolactam,325199,325199  Caprolactam manufacturing,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",770-382-5200,790 Joe Frank Harris Pkwy. SE,Cartersville,GA,Bartow,30120-2468,34.188837,-84.786064,Carpet,,Carpet (commercial),N/A,,,Carpet mill (commercial),314110,"314110 (2273) - Carpets, Rugs & Floor Covering",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",770-387-8841,5225 Hwy. 411 ,Cartersville,GA,Bartow,30120-0429,34.220045,-84.865942,Carpet,,Carpet tile,N/A,,,Carpet mill (carpet tiles),314110,"314110 (2273) - Carpets, Rugs & Floor Covering; 423220 (5023) - Floor Coverings Wholesalers",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",229-423-8753,169 Benjamin H. Hill Dr.,Fitzgerald,GA,Ben Hill,31750-8606,31.693906,-83.242316,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313111,313111 (2281) - Yarn & Yarn Spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-629-9234,185 South Industrial Blvd.,Calhoun,GA,Gordon,30701-3031,34.475079,-84.93921,Carpet,,Carpet (unbacked),N/A,,,Carpet mill (tufting only),314110,"314110 (2273) - Carpets, Rugs & Floor Covering",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-595-9420,1990 Warrenton Hwy.,Thomson,GA,McDuffie,30824-7903,33.446379,-82.539895,Carpet,,Carpet yarn,N/A,,,Carpet yarn mill,313111,313111 (2281) - Yarn & Yarn Spinning,www.shawfloors.com,,,
"Shaw Industries Group, Inc.",706-275-4908,1100 Riverbend Rd.,Dalton,GA,Whitfield,30721-4703,34.751575,-84.952261,Carpet,,Carpet,N/A,,,Carpet (samples),314110,"314110 (2273) - Carpets, Rugs & Floor Covering; 323118 (2782) - Blankbooks & Looseleaf Binders",www.shawfloors.com,,,
"Shaw Industries Group, Inc.",253-833-1848,388 Armstrong Rd.,Ringgold,GA,Catoosa,30736-8674,34.890384,-85.079659,Wood,,"Laminate flooring, wood flour",N/A,,,Laminate flooring,339999,339999 - All Other Miscellaneous Manufacturing,www.shawfloors.com,,,
Sonoco Products,706-722-7702,930 Molly Pond Rd.,Augusta,GA,Richmond,30901,33.445671,-81.985203,Paper,40,Paper,N/A,,,"Tubes, cores",322214,"322214 - Fiber Can, Tube, Drum, and Similar Products Manufacturing",www.sonoco.com," $17,200,000 ",David Hungerpillar,
Sonoco Products,404-361-4800,4858 Old Dixie Rd.,Forest Park,GA,Clayton,30297,33.613465,-84.385744,Paper,60,Paper,N/A,,,Composite cans,322219,"322219  Composite cans (i.e., foil-fiber and other combinations) manufacturing",www.sonoco.com," $20,000,000 ",Dennis Drury,
Sonoco Products,706-453-7552,109 Stewart Pkwy.,Greensboro,GA,,30642,33.563416,-83.189984,Plastic,30,Plastic,N/A,,,Plastic molded reels,326199,"326199  Reels, plastics, manufacturing",www.sonoco.com," $60,000,000 ",Amy Hampton,
Sonoco Products (Paperboard Specialties),770-476-9088,3150 Clinton Ct.,Norcross,GA,Gwinnett,30071,33.977998,-84.171505,Paper,35,Paper,N/A,,,Paper caps (for hotel drinking glasses),322130,322130 - Paperboard Mills ,www.sonocospecialties.com,,Smitty Thomas,
South Central GA Gin,229-686-2771,319 Ray Rd. ,Enigma,GA,Berrien,31749,31.418275,-83.352828,Organics,,,N/A,,PBR,,,,,,Sara Akins,Unable to verify operational status.
SP FIberTech,478-272-1600,709 Papermill Rd.,Dublin,GA,Laurens,31027-2494,32.501421,-82.835411,Paper,350,Paper,N/A,,,Newsprint,322122,"322122   Paper mills, newsprint",www.spfibertech.com," $530,000,000 ",,
Stephens Industries,770-909-8600,5401 West Lees Mill Rd.,College Park,GA,Fulton,30349,33.6095029,-84.4108901,C&D,,C&D,N/A,,,Construction aggregate,,,www.stephensmds.com,,Myron Easley,
"Tandus (formerly C&A Floorcoverings, Inc.)",706-259-2120,1000 Vista Dr.,Dalton,GA,Whitfield,30722,34.798498,-84.950201,Carpet,,"Post-consumer and post-industrial carpet, PVB, fly ash, post-consumer filler",N/A,,,Carpet,314110,314110 - Carpet and Rug Mills ,www.tandus.com," $350,000,000 ",Nick Cookson,
"Taylor Pallet Supply, Inc.",478-956-4039,4199 Housers Mill Rd.,Byron,GA,Peach,31008,32.6065787,-83.7480582,Wood,,Wood pallets,N/A,,,"Wood pallets, mulch",,,www.hoodpallet.com,,Matt Barnes,
Telfair State Prison,229-868-7721,210 Long Bridge Rd.,Helena,GA,Telfair,31037,32.08731,-82.911212,Organics,,Food residuals,N/A,,PBR,Compost,,,,,Wendall Fowler,Unable to verify operational status. Not open to public. Processes own material.
Temple Inland (International Paper - Rome Mill),706-232-0851,238 Mays Bridge Rd.,Rome,GA,Floyd,30165,34.255199,-85.325245,Paper,400,Paper,N/A,,,Containerboard,322130,322130 - Paperboard Mills,www.templeinland.com," $1,500,000 ",Missy ,
"The Seydel Companies, Inc. (formerly EvCo Research, LLC) ",800-433-2821,244 John B. Brooks Rd.,Pendergrass,GA,Jackson,30567,34.151243,-83.663133,Plastic,80-100,PET,N/A,,,"Coatings, adhesives, binders","325998,  424690","325998 - All Other Miscellaneous Chemical Product and Preparation Manufacturing, 422690 - Other Chemical and Allied Products Merchant Wholesalers",www.seydel.com,,Scott Seydel,
"The Timbermen, Inc.",706-465-3506,4234 Hwy. 80 North,Camak,GA,Warren,30807,33.4523419,-82.6466871,Wood,,Wood pallets,N/A,,,"Wood pallets, mulch",,,www.timbermen.net,,Bob Barrett,
Tri-County Gin,912-383-4639,561 Sinkhole Rd. ,Douglas,GA,Coffee,31533,31.519061,-82.942271,Organics,50,Cotton gin trash,TrashMax,Private,PBR,Compost,325314,325314  Compost manufacturing,www.facebook.com/TriCountyGin,,,
University of GA Bioconversion Center,706-542-1653,1155 E. Whitehall Rd. ,Athens,GA,Clarke,30602,33.893859,-83.367176,Organics,,,N/A,,PBR,,,,,,E. Dale Threadgill,Unable to verify operational status.
Washington State Prison,478-348-2246,13262 Hwy. 24 East ,Davisboro,GA,Washington,31018,32.986432,-82.599823,Organics,,"Food residuals, yard trimmings mixed with sawdust ",Windrow,Public,PBR,Compost,325314,325314  Compost manufacturing,,,,Not open to public. Processes own material.
West Point Foundry,706-643-2101,2021 Stateline Rd.,West Point,GA,Troup,31833-1275,32.895497,-85.186092,Metal,33,Metals,N/A,,,"Gray and ductile castings for machinery parts (job shop)
",331511,"331511   Foundries, iron (i.e., ductile, gray)",www.westpoint.com,,Alan Pritchet,
Wilbros Organic Recovery,706-886-0077,215 Coats Dr.,Toccoa,GA,Stephens,30577,34.5445514,-83.3067418,Organics,18,"Yard trimmings, grass clippings, leaves, crop by-products, food scraps",Windrow,Private,SW,Compost,325314,325314  Compost manufacturing,www.wilbrosllc.com,,,
Worth Gin,229-776-6908,1137 East Franklin St.,Sylvester,GA,Worth,31791,31.527403,-83.806605,Organics,,Cotton gin trash,TrashMax,Private,PBR,Compost,325314,325314  Compost manufacturing,,,,
